clip,stimulus,response,language,name,gender,noise_exposure,age,condition,trial,participant
yanny-laurel-single_yanny_36.wav,4,Yanny,English,Nick,m,yes,21,yanny_first,1,94ffdf8df3b2b2781019d8bbc012cb6d6c14ffad6b56
yanny-laurel-single_yanny_24.wav,3,Laurel,English,Nick,m,yes,21,yanny_first,2,94ffdf8df3b2b2781019d8bbc012cb6d6c14ffad6b56
yanny-laurel-single_yanny_12.wav,2,Yanny,English,Nick,m,yes,21,yanny_first,3,94ffdf8df3b2b2781019d8bbc012cb6d6c14ffad6b56
yanny-laurel-single_yanny_6.wav,1,Laurel,English,Nick,m,yes,21,yanny_first,4,94ffdf8df3b2b2781019d8bbc012cb6d6c14ffad6b56
yanny-laurel-single_yanny_0.wav,0,Laurel,English,Nick,m,yes,21,yanny_first,5,94ffdf8df3b2b2781019d8bbc012cb6d6c14ffad6b56
yanny-laurel-single_laurel_6.wav,-1,Yanny,English,Nick,m,yes,21,yanny_first,6,94ffdf8df3b2b2781019d8bbc012cb6d6c14ffad6b56
yanny-laurel-single_laurel_12.wav,-2,Laurel,English,Nick,m,yes,21,yanny_first,7,94ffdf8df3b2b2781019d8bbc012cb6d6c14ffad6b56
yanny-laurel-single_laurel_24.wav,-3,Laurel,English,Nick,m,yes,21,yanny_first,8,94ffdf8df3b2b2781019d8bbc012cb6d6c14ffad6b56
yanny-laurel-single_laurel_36.wav,-4,Yanny,English,Nick,m,yes,21,yanny_first,9,94ffdf8df3b2b2781019d8bbc012cb6d6c14ffad6b56
yanny-laurel-single_laurel_48.wav,-5,Yanny,English,Nick,m,yes,21,yanny_first,10,94ffdf8df3b2b2781019d8bbc012cb6d6c14ffad6b56
yanny-laurel-single_laurel_48.wav,-5,Yanny,English,Nick,m,yes,21,yanny_first,11,94ffdf8df3b2b2781019d8bbc012cb6d6c14ffad6b56
yanny-laurel-single_laurel_36.wav,-4,Laurel,English,Nick,m,yes,21,yanny_first,12,94ffdf8df3b2b2781019d8bbc012cb6d6c14ffad6b56
yanny-laurel-single_laurel_24.wav,-3,Yanny,English,Nick,m,yes,21,yanny_first,13,94ffdf8df3b2b2781019d8bbc012cb6d6c14ffad6b56
yanny-laurel-single_laurel_12.wav,-2,Laurel,English,Nick,m,yes,21,yanny_first,14,94ffdf8df3b2b2781019d8bbc012cb6d6c14ffad6b56
yanny-laurel-single_laurel_6.wav,-1,Laurel,English,Nick,m,yes,21,yanny_first,15,94ffdf8df3b2b2781019d8bbc012cb6d6c14ffad6b56
yanny-laurel-single_yanny_0.wav,0,Laurel,English,Nick,m,yes,21,yanny_first,16,94ffdf8df3b2b2781019d8bbc012cb6d6c14ffad6b56
yanny-laurel-single_yanny_6.wav,1,Laurel,English,Nick,m,yes,21,yanny_first,17,94ffdf8df3b2b2781019d8bbc012cb6d6c14ffad6b56
yanny-laurel-single_yanny_12.wav,2,Laurel,English,Nick,m,yes,21,yanny_first,18,94ffdf8df3b2b2781019d8bbc012cb6d6c14ffad6b56
yanny-laurel-single_yanny_24.wav,3,Laurel,English,Nick,m,yes,21,yanny_first,19,94ffdf8df3b2b2781019d8bbc012cb6d6c14ffad6b56
yanny-laurel-single_yanny_36.wav,4,Laurel,English,Nick,m,yes,21,yanny_first,20,94ffdf8df3b2b2781019d8bbc012cb6d6c14ffad6b56
yanny-laurel-single_yanny_48.wav,5,Yanny,English,Nick,m,yes,21,yanny_first,21,94ffdf8df3b2b2781019d8bbc012cb6d6c14ffad6b56
yanny-laurel-single_yanny_48.wav,5,Yanny,English,Nick,m,yes,21,yanny_first,22,94ffdf8df3b2b2781019d8bbc012cb6d6c14ffad6b56
yanny-laurel-single_yanny_36.wav,4,Yanny,English,Nick,m,yes,21,yanny_first,23,94ffdf8df3b2b2781019d8bbc012cb6d6c14ffad6b56
yanny-laurel-single_yanny_24.wav,3,Yanny,English,Nick,m,yes,21,yanny_first,24,94ffdf8df3b2b2781019d8bbc012cb6d6c14ffad6b56
yanny-laurel-single_yanny_12.wav,2,Yanny,English,Nick,m,yes,21,yanny_first,25,94ffdf8df3b2b2781019d8bbc012cb6d6c14ffad6b56
yanny-laurel-single_yanny_6.wav,1,Laurel,English,Nick,m,yes,21,yanny_first,26,94ffdf8df3b2b2781019d8bbc012cb6d6c14ffad6b56
yanny-laurel-single_yanny_0.wav,0,Laurel,English,Nick,m,yes,21,yanny_first,27,94ffdf8df3b2b2781019d8bbc012cb6d6c14ffad6b56
yanny-laurel-single_laurel_6.wav,-1,Laurel,English,Nick,m,yes,21,yanny_first,28,94ffdf8df3b2b2781019d8bbc012cb6d6c14ffad6b56
yanny-laurel-single_laurel_12.wav,-2,Yanny,English,Nick,m,yes,21,yanny_first,29,94ffdf8df3b2b2781019d8bbc012cb6d6c14ffad6b56
yanny-laurel-single_laurel_24.wav,-3,Yanny,English,Nick,m,yes,21,yanny_first,30,94ffdf8df3b2b2781019d8bbc012cb6d6c14ffad6b56
yanny-laurel-single_laurel_36.wav,-4,Laurel,English,Nick,m,yes,21,yanny_first,31,94ffdf8df3b2b2781019d8bbc012cb6d6c14ffad6b56
yanny-laurel-single_laurel_48.wav,-5,Yanny,English,Nick,m,yes,21,yanny_first,32,94ffdf8df3b2b2781019d8bbc012cb6d6c14ffad6b56
yanny-laurel-single_laurel_48.wav,-5,Laurel,English,Nick,m,yes,21,yanny_first,33,94ffdf8df3b2b2781019d8bbc012cb6d6c14ffad6b56
yanny-laurel-single_laurel_36.wav,-4,Yanny,English,Nick,m,yes,21,yanny_first,34,94ffdf8df3b2b2781019d8bbc012cb6d6c14ffad6b56
yanny-laurel-single_laurel_24.wav,-3,Laurel,English,Nick,m,yes,21,yanny_first,35,94ffdf8df3b2b2781019d8bbc012cb6d6c14ffad6b56
yanny-laurel-single_laurel_12.wav,-2,Yanny,English,Nick,m,yes,21,yanny_first,36,94ffdf8df3b2b2781019d8bbc012cb6d6c14ffad6b56
yanny-laurel-single_laurel_6.wav,-1,Laurel,English,Nick,m,yes,21,yanny_first,37,94ffdf8df3b2b2781019d8bbc012cb6d6c14ffad6b56
yanny-laurel-single_yanny_0.wav,0,Yanny,English,Nick,m,yes,21,yanny_first,38,94ffdf8df3b2b2781019d8bbc012cb6d6c14ffad6b56
yanny-laurel-single_yanny_6.wav,1,Yanny,English,Nick,m,yes,21,yanny_first,39,94ffdf8df3b2b2781019d8bbc012cb6d6c14ffad6b56
yanny-laurel-single_yanny_12.wav,2,Yanny,English,Nick,m,yes,21,yanny_first,40,94ffdf8df3b2b2781019d8bbc012cb6d6c14ffad6b56
yanny-laurel-single_yanny_24.wav,3,Yanny,English,Nick,m,yes,21,yanny_first,41,94ffdf8df3b2b2781019d8bbc012cb6d6c14ffad6b56
yanny-laurel-single_yanny_36.wav,4,Laurel,English,Nick,m,yes,21,yanny_first,42,94ffdf8df3b2b2781019d8bbc012cb6d6c14ffad6b56
yanny-laurel-single_yanny_48.wav,5,Laurel,English,Nick,m,yes,21,yanny_first,43,94ffdf8df3b2b2781019d8bbc012cb6d6c14ffad6b56
yanny-laurel-single_laurel_48.wav,-5,Laurel,"Portuguese ","Pedro Alves de Lima",m,no,21,laurel_first,0,3f78f3dd703c6a3fd4a8980552ea1078e414b3dcbe75
yanny-laurel-single_laurel_36.wav,-4,Laurel,"Portuguese ","Pedro Alves de Lima",m,no,21,laurel_first,1,3f78f3dd703c6a3fd4a8980552ea1078e414b3dcbe75
yanny-laurel-single_laurel_24.wav,-3,Yanny,"Portuguese ","Pedro Alves de Lima",m,no,21,laurel_first,2,3f78f3dd703c6a3fd4a8980552ea1078e414b3dcbe75
yanny-laurel-single_laurel_12.wav,-2,Yanny,"Portuguese ","Pedro Alves de Lima",m,no,21,laurel_first,3,3f78f3dd703c6a3fd4a8980552ea1078e414b3dcbe75
yanny-laurel-single_laurel_6.wav,-1,Yanny,"Portuguese ","Pedro Alves de Lima",m,no,21,laurel_first,4,3f78f3dd703c6a3fd4a8980552ea1078e414b3dcbe75
yanny-laurel-single_yanny_0.wav,0,Yanny,"Portuguese ","Pedro Alves de Lima",m,no,21,laurel_first,5,3f78f3dd703c6a3fd4a8980552ea1078e414b3dcbe75
yanny-laurel-single_yanny_6.wav,1,Yanny,"Portuguese ","Pedro Alves de Lima",m,no,21,laurel_first,6,3f78f3dd703c6a3fd4a8980552ea1078e414b3dcbe75
yanny-laurel-single_yanny_12.wav,2,Yanny,"Portuguese ","Pedro Alves de Lima",m,no,21,laurel_first,7,3f78f3dd703c6a3fd4a8980552ea1078e414b3dcbe75
yanny-laurel-single_yanny_24.wav,3,Yanny,"Portuguese ","Pedro Alves de Lima",m,no,21,laurel_first,8,3f78f3dd703c6a3fd4a8980552ea1078e414b3dcbe75
