"","clip","stimulus","response","language","gender","noise_exposure","age","condition","trial","participant"
"70","yanny-laurel-single_yanny_12.wav",2,"Laurel","German","m","yes",28,"yanny_first",25,"57d54a7ae9eb3c543b827eff2cbcb2e41606176471be"
"71","yanny-laurel-single_yanny_6.wav",1,"Laurel","German","m","yes",28,"yanny_first",26,"57d54a7ae9eb3c543b827eff2cbcb2e41606176471be"
"72","yanny-laurel-single_yanny_0.wav",0,"Laurel","German","m","yes",28,"yanny_first",27,"57d54a7ae9eb3c543b827eff2cbcb2e41606176471be"
"73","yanny-laurel-single_laurel_6.wav",-1,"Laurel","German","m","yes",28,"yanny_first",28,"57d54a7ae9eb3c543b827eff2cbcb2e41606176471be"
"74","yanny-laurel-single_laurel_12.wav",-2,"Laurel","German","m","yes",28,"yanny_first",29,"57d54a7ae9eb3c543b827eff2cbcb2e41606176471be"
"75","yanny-laurel-single_laurel_24.wav",-3,"Laurel","German","m","yes",28,"yanny_first",30,"57d54a7ae9eb3c543b827eff2cbcb2e41606176471be"
"76","yanny-laurel-single_laurel_36.wav",-4,"Laurel","German","m","yes",28,"yanny_first",31,"57d54a7ae9eb3c543b827eff2cbcb2e41606176471be"
"77","yanny-laurel-single_laurel_48.wav",-5,"Laurel","German","m","yes",28,"yanny_first",32,"57d54a7ae9eb3c543b827eff2cbcb2e41606176471be"
"78","yanny-laurel-single_laurel_48.wav",-5,"Laurel","German","m","yes",28,"yanny_first",33,"57d54a7ae9eb3c543b827eff2cbcb2e41606176471be"
"79","yanny-laurel-single_laurel_36.wav",-4,"Laurel","German","m","yes",28,"yanny_first",34,"57d54a7ae9eb3c543b827eff2cbcb2e41606176471be"
"80","yanny-laurel-single_laurel_24.wav",-3,"Laurel","German","m","yes",28,"yanny_first",35,"57d54a7ae9eb3c543b827eff2cbcb2e41606176471be"
"81","yanny-laurel-single_laurel_12.wav",-2,"Laurel","German","m","yes",28,"yanny_first",36,"57d54a7ae9eb3c543b827eff2cbcb2e41606176471be"
"82","yanny-laurel-single_laurel_6.wav",-1,"Laurel","German","m","yes",28,"yanny_first",37,"57d54a7ae9eb3c543b827eff2cbcb2e41606176471be"
"83","yanny-laurel-single_yanny_0.wav",0,"Laurel","German","m","yes",28,"yanny_first",38,"57d54a7ae9eb3c543b827eff2cbcb2e41606176471be"
"84","yanny-laurel-single_yanny_6.wav",1,"Laurel","German","m","yes",28,"yanny_first",39,"57d54a7ae9eb3c543b827eff2cbcb2e41606176471be"
"85","yanny-laurel-single_yanny_12.wav",2,"Laurel","German","m","yes",28,"yanny_first",40,"57d54a7ae9eb3c543b827eff2cbcb2e41606176471be"
"86","yanny-laurel-single_yanny_24.wav",3,"Yanny","German","m","yes",28,"yanny_first",41,"57d54a7ae9eb3c543b827eff2cbcb2e41606176471be"
"87","yanny-laurel-single_yanny_36.wav",4,"Yanny","German","m","yes",28,"yanny_first",42,"57d54a7ae9eb3c543b827eff2cbcb2e41606176471be"
"88","yanny-laurel-single_yanny_48.wav",5,"Yanny","German","m","yes",28,"yanny_first",43,"57d54a7ae9eb3c543b827eff2cbcb2e41606176471be"
"89","yanny-laurel-single_yanny_48.wav",5,"Yanny","","f","no",NA,"random",0,"676bf235bad4cbe7291d5349cd35d66442418b0c03f1"
"90","yanny-laurel-single_yanny_24.wav",3,"Yanny","","f","no",NA,"random",1,"676bf235bad4cbe7291d5349cd35d66442418b0c03f1"
"91","yanny-laurel-single_laurel_36.wav",-4,"Laurel","","f","no",NA,"random",2,"676bf235bad4cbe7291d5349cd35d66442418b0c03f1"
"92","yanny-laurel-single_laurel_6.wav",-1,"Laurel","","f","no",NA,"random",3,"676bf235bad4cbe7291d5349cd35d66442418b0c03f1"
"93","yanny-laurel-single_laurel_48.wav",-5,"Laurel","","f","no",NA,"random",4,"676bf235bad4cbe7291d5349cd35d66442418b0c03f1"
"94","yanny-laurel-single_yanny_6.wav",1,"Yanny","","f","no",NA,"random",5,"676bf235bad4cbe7291d5349cd35d66442418b0c03f1"
"95","yanny-laurel-single_laurel_12.wav",-2,"Laurel","","f","no",NA,"random",6,"676bf235bad4cbe7291d5349cd35d66442418b0c03f1"
"96","yanny-laurel-single_laurel_24.wav",-3,"Laurel","","f","no",NA,"random",7,"676bf235bad4cbe7291d5349cd35d66442418b0c03f1"
"97","yanny-laurel-single_yanny_0.wav",0,"Laurel","","f","no",NA,"random",8,"676bf235bad4cbe7291d5349cd35d66442418b0c03f1"
"98","yanny-laurel-single_yanny_12.wav",2,"Yanny","","f","no",NA,"random",9,"676bf235bad4cbe7291d5349cd35d66442418b0c03f1"
"99","yanny-laurel-single_yanny_36.wav",4,"Yanny","","f","no",NA,"random",10,"676bf235bad4cbe7291d5349cd35d66442418b0c03f1"
"100","yanny-laurel-single_yanny_12.wav",2,"Yanny","","f","no",NA,"random",11,"676bf235bad4cbe7291d5349cd35d66442418b0c03f1"
"101","yanny-laurel-single_yanny_48.wav",5,"Yanny","","f","no",NA,"random",12,"676bf235bad4cbe7291d5349cd35d66442418b0c03f1"
"102","yanny-laurel-single_yanny_36.wav",4,"Yanny","","f","no",NA,"random",13,"676bf235bad4cbe7291d5349cd35d66442418b0c03f1"
